"","from","to","weight"
"2","BA.2","BA.5.1",0.824263731534552
"4","BA.2","XAF",0.77140222986618
"5","BA.2","XAM",0.898012709424453
"6","BA.2","XAZ",0.813476062574631
"44","BA.2.75","BM.1.1.1",0.864550066476744
"51","BA.2.75","XBD",0.7982619492214
"52","BA.2.75","XBF",0.978816310479658
"53","BA.2.75","XBH",0.578596859527176
"86","BA.5.1","XAF",0.734658707093522
"87","BA.5.1","XAM",0.737151847019418
"88","BA.5.1","XAZ",0.904319495671659
"133","BM.1.1.1","XBD",0.811241329291494
"134","BM.1.1.1","XBF",0.917900870112821
"135","BM.1.1.1","XBH",0.702025863674128
"169","XAF","XAM",0.882235531809901
"170","XAF","XAZ",0.631696587265213
"211","XAM","XAZ",0.702296745449222
"256","XAZ","XBD",0.502735415063435
"337","XBC.1","XBC.2",0.952422526728852
"421","XBD","XBF",0.832957850388449
"422","XBD","XBH",0.579999088534527
"463","XBF","XBH",0.631454933027194
"607","19B","21J (Delta)",0.571420692279923
"623","20A","XB",0.546984216967303
"631","20A","20B",0.66192267114271
"632","20A","20C",0.8147692191758
"633","20A","20D",0.666549318253299
"634","20A","20E (EU1)",0.953646672700181
"635","20A","20F",0.603056384601488
"636","20A","20G",0.81267958965762
"637","20A","20H (Beta, V2)",0.66582355366184
"638","20A","20I (Alpha, V1)",0.545648828585184
"639","20A","20J (Gamma, V3)",0.531196219335313
"641","20A","21B (Kappa)",0.555358820105658
"642","20A","21C (Epsilon)",0.731302646951823
"644","20A","21F (Iota)",0.819612418116674
"646","20A","21H (Mu)",0.66803830119069
"674","20B","20D",0.99771767334302
"675","20B","20E (EU1)",0.698747870938065
"676","20B","20F",0.898011126905781
"679","20B","20I (Alpha, V1)",0.825463316555369
"680","20B","20J (Gamma, V3)",0.799767607936587
"686","20B","21G (Lambda)",0.697389473636673
"716","20C","20E (EU1)",0.694148941661561
"718","20C","20G",0.994953519145878
"719","20C","20H (Beta, V2)",0.815841643964329
"724","20C","21C (Epsilon)",0.897256783781857
"726","20C","21F (Iota)",0.999237754790035
"728","20C","21H (Mu)",0.593328613938556
"757","20D","20E (EU1)",0.704110392959985
"758","20D","20F",0.906012875590979
"761","20D","20I (Alpha, V1)",0.81198608287766
"762","20D","20J (Gamma, V3)",0.804472399407468
"768","20D","21G (Lambda)",0.686016407203274
"787","20E (EU1)","XB",0.569684368963126
"799","20E (EU1)","20F",0.628351853894107
"800","20E (EU1)","20G",0.691375998936576
"801","20E (EU1)","20H (Beta, V2)",0.568831295991858
"802","20E (EU1)","20I (Alpha, V1)",0.573011387740413
"803","20E (EU1)","20J (Gamma, V3)",0.564779677360211
"805","20E (EU1)","21B (Kappa)",0.587245930187346
"806","20E (EU1)","21C (Epsilon)",0.628647755366186
"807","20E (EU1)","21D (Eta)",0.518848237086763
"808","20E (EU1)","21F (Iota)",0.696002240319062
"810","20E (EU1)","21H (Mu)",0.573491971336758
"843","20F","20I (Alpha, V1)",0.721165551060994
"844","20F","20J (Gamma, V3)",0.716212653717427
"850","20F","21G (Lambda)",0.604978573994535
"883","20G","20H (Beta, V2)",0.813027659378078
"888","20G","21C (Epsilon)",0.891189261352089
"890","20G","21F (Iota)",0.994252745881437
"892","20G","21H (Mu)",0.587948794599547
"929","20H (Beta, V2)","21C (Epsilon)",0.725750363150607
"931","20H (Beta, V2)","21F (Iota)",0.816547445294279
"933","20H (Beta, V2)","21H (Mu)",0.632064797479482
"967","20I (Alpha, V1)","20J (Gamma, V3)",0.825784309157268
"973","20I (Alpha, V1)","21G (Lambda)",0.534268687522318
"974","20I (Alpha, V1)","21H (Mu)",0.64244740339562
"1014","20J (Gamma, V3)","21G (Lambda)",0.52815877204658
"1051","21A (Delta)","21B (Kappa)",0.734004713644793
"1057","21A (Delta)","21I (Delta)",0.941561207006176
"1058","21A (Delta)","21J (Delta)",0.941411172215434
"1093","21B (Kappa)","21C (Epsilon)",0.531964009808393
"1098","21B (Kappa)","21I (Delta)",0.679369509379641
"1099","21B (Kappa)","21J (Delta)",0.681176286422034
"1136","21C (Epsilon)","21F (Iota)",0.89524594304719
"1138","21C (Epsilon)","21H (Mu)",0.515311938456985
"1220","21F (Iota)","21H (Mu)",0.589333516299306
"1345","21I (Delta)","21J (Delta)",0.885203916376156
"1395","21K (Omicron)","BA.2",0.610602928516667
"1397","21K (Omicron)","BA.5.1",0.516320873364351
"1399","21K (Omicron)","XAF",0.629487811248496
"1400","21K (Omicron)","XAM",0.576745978601363
"1429","21K (Omicron)","21L (Omicron)",0.533795771047852
"1431","21K (Omicron)","22B (Omicron)",0.524524028330576
"1432","21K (Omicron)","22C (Omicron)",0.529612816035078
"1436","21L (Omicron)","BA.2",0.953022163445928
"1438","21L (Omicron)","BA.5.1",0.872239302969474
"1440","21L (Omicron)","XAF",0.73705543371175
"1441","21L (Omicron)","XAM",0.862053876854013
"1442","21L (Omicron)","XAZ",0.845353049298399
"1471","21L (Omicron)","22A (Omicron)",0.897145159709348
"1472","21L (Omicron)","22B (Omicron)",0.871614683688047
"1473","21L (Omicron)","22C (Omicron)",0.998744069877195
"1475","21L (Omicron)","22E (Omicron)",0.79589333167233
"1476","21L (Omicron)","22F (Omicron)",0.619731824707636
"1477","22A (Omicron)","BA.2",0.837788947690503
"1479","22A (Omicron)","BA.5.1",0.959507345635036
"1481","22A (Omicron)","XAF",0.696062573403587
"1482","22A (Omicron)","XAM",0.756160094789085
"1483","22A (Omicron)","XAZ",0.93817105185194
"1513","22A (Omicron)","22B (Omicron)",0.962744746854244
"1514","22A (Omicron)","22C (Omicron)",0.894765128952707
"1516","22A (Omicron)","22E (Omicron)",0.89862388906274
"1517","22A (Omicron)","22F (Omicron)",0.602391301968113
"1518","22B (Omicron)","BA.2",0.844057628918088
"1520","22B (Omicron)","BA.5.1",0.932225653292138
"1522","22B (Omicron)","XAF",0.667643566952632
"1523","22B (Omicron)","XAM",0.732460661226158
"1524","22B (Omicron)","XAZ",0.972222603952369
"1555","22B (Omicron)","22C (Omicron)",0.868334515495627
"1557","22B (Omicron)","22E (Omicron)",0.927021803596395
"1558","22B (Omicron)","22F (Omicron)",0.566623380780796
"1559","22C (Omicron)","BA.2",0.949549734813064
"1561","22C (Omicron)","BA.5.1",0.866790967860073
"1563","22C (Omicron)","XAF",0.733273791652825
"1564","22C (Omicron)","XAM",0.860921834266263
"1565","22C (Omicron)","XAZ",0.846176907779445
"1598","22C (Omicron)","22E (Omicron)",0.79013449880213
"1599","22C (Omicron)","22F (Omicron)",0.612303979062259
"1601","22D (Omicron)","BA.2.75",0.909884316132052
"1603","22D (Omicron)","BM.1.1.1",0.859419777538147
"1610","22D (Omicron)","XBD",0.828974949722974
"1611","22D (Omicron)","XBF",0.922596084656107
"1612","22D (Omicron)","XBH",0.59905719132658
"1640","22D (Omicron)","22F (Omicron)",0.64086508731386
"1641","22E (Omicron)","BA.2",0.776839031014984
"1643","22E (Omicron)","BA.5.1",0.856122314168276
"1645","22E (Omicron)","XAF",0.602535301598858
"1646","22E (Omicron)","XAM",0.657095598303732
"1647","22E (Omicron)","XAZ",0.894333687364321
"1651","22E (Omicron)","XBD",0.508477931313281
"1681","22E (Omicron)","22F (Omicron)",0.580933908328698
"1682","22F (Omicron)","BA.2",0.568150290690587
"1683","22F (Omicron)","BA.2.75",0.654561410215584
"1684","22F (Omicron)","BA.5.1",0.560458977784781
"1685","22F (Omicron)","BM.1.1.1",0.622405044206351
"1688","22F (Omicron)","XAZ",0.573734448039405
"1692","22F (Omicron)","XBD",0.56019476995566
"1693","22F (Omicron)","XBF",0.688719490520626
